bw1,bw2,dl1,dl2,pl1,pl2,MPSNR
9.729,9.637,133,229,0.07,0.29,66.45225
8.982,7.286,52,169,0.64,0.3,43.53115625
5.089,9.72,200,67,0.4,0.95,25.5628125
4.248,8.671,157,218,0.08,0.14,37.64034375
6.16,8.807,145,258,0.83,0.84,32.41821875
4.251,6.644,133,145,0.63,0.69,18.45865625
8.686,10.629,155,146,0.58,0.55,40.44446875
8.546,8.095,279,91,0.77,0.59,34.9341875
7.546,4.569,268,263,0.36,0.84,19.18840625
5.618,5.916,41,5,0.86,0.57,25.24371875
4.047,4.268,278,18,0.42,0.08,27.072125
4.656,7.088,262,260,0.1,0.92,27.38615625
8.183,11.831,264,150,0.82,0.79,25.22628125
4.125,8.781,199,40,0.09,0.08,34.129625
8.833,5.544,255,215,0.6,0.17,47.14896875
6.247,5.912,196,162,0.15,0.94,40.341875
5.354,6.744,15,71,0.18,0.87,36.71228125
9.502,10.67,237,113,0.99,0.2,37.424
7.345,11.541,98,13,0.7,0.75,28.25153125
7.92,7.117,173,291,0.71,0.07,49.72365625
4.654,5.017,270,253,0.65,0.27,32.6103125
4.288,11.973,189,281,0.04,0.23,35.41290625
7.266,7.526,187,246,1,0.43,37.28878125
8.48,8.977,35,97,0.85,0.21,47.10690625
9.239,10.667,241,218,0.1,0.84,39.97040625
4.254,5.956,203,56,0.8,0.57,20.594625
5.326,10.977,219,34,0.14,0.59,41.435375
5.714,10.219,242,289,0.17,0.51,46.72803125
5.175,11.434,294,77,0.02,0.85,31.619125
9.985,8.096,17,144,0.45,0.84,35.1558125
7.759,5.228,231,204,0.26,0.49,42.47475
6.657,8.358,181,254,0.44,0.08,64.00828125
5.36,10.715,81,16,0.39,0.54,39.75509375
4.963,10.365,1,131,0.02,0.29,59.91378125
4.372,7.514,1,10,0.43,0.39,26.66090625
6.684,11.592,17,34,0.37,0.49,42.6495625
9.443,4.068,128,199,0.07,0.48,25.88275
8.722,8.157,146,289,0.44,0.42,43.29403125
5.74,11.456,61,157,0.5,0.16,54.39596875
7.697,8.683,129,263,0.37,0.23,55.70678125
4.001,10.057,207,161,0.27,0.2,24.648125
6.842,5.148,35,277,0.47,0.06,38.952125
4.504,5.865,202,99,0.35,0,37.19390625
7.198,4.425,12,223,0.28,0.12,31.96096875
7.647,8.551,215,262,0.34,0.5,43.35675
4.524,10.168,120,194,0.38,0.27,31.339375
8.838,9.194,291,91,0.44,0.25,51.3161875
9.444,5.471,84,260,0.41,0.29,46.16590625
5.251,5.225,93,31,0.27,0.19,50.82596875
6.915,9.645,277,247,0.06,0.23,78.584
4.375,8.107,232,300,0.25,0.12,38.0055
8.595,6.943,249,71,0.32,0.39,53.77615625
5.098,6.954,285,215,0.14,0.31,50.04609375
6.028,7.917,240,235,0.46,0.2,52.5200625
5.296,4.849,91,72,0.38,0.2,38.89428125
5.27,10.557,80,287,0.08,0.27,63.16934375
9.791,9.15,221,233,0.01,0.02,93.759
5.407,8.775,62,185,0.38,0.43,40.54965625
8.701,7.127,50,124,0.43,0.07,61.1656875
8.965,4.361,204,294,0.29,0.03,29.318625
8.075,10.339,186,3,0.13,0.5,59.380125
8.679,6.659,196,235,0.35,0.14,57.23059375
4.05,9.416,86,124,0.2,0.47,19.88146875
6.954,8.51,204,67,0.14,0.37,60.15303125
7.832,8.035,139,39,0.07,0.46,63.7006875
9.515,10.377,2,115,0.01,0.11,85.9589375
5.401,4.569,128,41,0.17,0.41,28.43534375
9.53,9.686,213,88,0.01,0.14,85.33025
4.885,6.543,269,160,0.11,0.39,40.06634375
6.78,6.461,199,223,0.49,0,63.68115625
9.683,11.045,175,207,0.21,0.48,44.7335
8.171,9.289,200,21,0.06,0.31,62.85884375
7.396,9.728,23,104,0.4,0.43,42.694375
6.118,9.242,282,135,0.03,0.37,58.02440625
7.923,11.202,52,135,0.34,0.36,48.95309375
8.314,4.892,51,154,0.15,0.48,38.88309375
4.198,10.514,31,7,0.42,0.34,23.34465625
5.991,8.003,8,201,0.19,0.05,80.7873125
9.522,10.547,141,191,0.1,0.21,70.057625
8.549,5.508,240,81,0.05,0.23,64.33484375
8.624,9.393,262,128,0.5,0.2,49.61384375
8.451,4.103,115,7,0.43,0.21,26.16528125
7.362,5.128,3,187,0.48,0.07,43.48225
9.026,8.003,23,241,0.09,0.11,83.2104375
5.762,10.671,19,71,0.24,0.07,65.3385625
5.308,6.517,49,198,0.26,0.35,44.2159375
5.406,4.412,276,6,0.13,0.34,29.33346875
5.617,7.605,214,229,0.04,0.13,85.0153125
7.702,7.152,184,218,0.5,0.2,47.077625
6.837,5.102,186,161,0.36,0.46,35.2690625
4.192,9.225,71,248,0.15,0.28,26.9666875
7.003,11.913,57,206,0.01,0.19,87.3755625
6.779,7.749,59,51,0.03,0.38,66.273125
5.817,9.013,101,285,0.39,0.3,51.14865625
5.472,9.773,155,106,0.28,0.18,64.754125
8.556,6.434,299,168,0.35,0.13,60.71215625
5.131,9.08,224,181,0.46,0.49,36.435625
8.441,6.882,275,203,0.41,0.22,48.74790625
4.295,4.266,21,200,0.31,0.39,40.00259375
4.626,10.281,282,223,0.34,0.32,38.96784375
4.439,11.153,42,116,0.43,0.14,23.69384375
4.512,10.102,61,68,0.26,0.23,36.1384375
4.744,8.147,139,258,0.47,0.3,36.0451875
8.577,11.712,115,102,0.11,0.02,92.44259375
8.894,8.388,79,211,0.32,0.5,45.99803125
7.064,11.837,238,215,0.45,0.13,45.91446875
7.699,5.486,189,205,0.29,0.44,46.8615
7.999,7.261,250,7,0,0.12,83.50290625
7.073,9.35,143,38,0.17,0.49,46.5034375
4.123,5.706,230,293,0.25,0.24,23.659875
7.003,8.542,40,24,0.19,0.32,63.087125
7.44,8.677,26,46,0.41,0.42,49.3908125
8.952,10.758,14,261,0.05,0.01,91.67275
6.134,7.043,83,165,0.34,0.34,54.50965625
7.699,11.695,79,82,0.03,0.35,68.0093125
5.698,10.008,119,45,0.39,0.49,41.43440625
4.148,7.847,165,248,0.43,0.17,26.04878125
6.299,9.684,81,27,0.22,0.15,79.1575
7.529,9.831,101,134,0.25,0.32,52.69340625
6.629,5.673,164,11,0.16,0.38,60.9795625
6.125,7.912,143,115,0.29,0.1,65.5204375
7.805,6.57,18,219,0.38,0.35,54.56484375
6.551,9.325,202,55,0.26,0.08,74.02440625
4.425,8.531,241,45,0.43,0.11,32.2205625
8.787,4.485,13,287,0.26,0.44,32.7019375
4.733,10.334,54,300,0.28,0.05,45.131875
9.218,4.209,118,247,0.38,0.31,25.78471875
5.751,6.357,40,59,0.4,0.39,44.16559375
14.587,4.359,224,251,0,0.8,40.72250429
7.118,7.468,47,271,0.02,0.18,91.64180492
3.853,7.295,84,86,0.03,0.31,38.83645595
8.567,7.232,73,251,0.09,0.05,90.70480549
12.079,3.072,156,153,0.45,0.7,24.12088816
9.951,8.509,197,238,0.27,0.09,80.31414474
10.562,3.213,36,33,0.3,0.51,25.44200515
12.772,4.5,277,5,0.13,0.83,40.32344108
7.154,9.385,155,31,0.41,0.87,51.49992849
9.699,5.004,64,294,0.1,0.49,53.57851831
8.71,9.403,234,175,0.44,0.48,57.65124428
14.442,6.478,99,52,0.01,0.92,64.15692935
10.44,11.401,198,173,0.45,0.63,55.8632008
6.111,5.46,188,273,0.18,0.43,65.00926058
8.185,5.527,111,86,0.33,0.01,84.54047483
12.709,6.211,93,155,0.38,0.6,61.87861127
9.325,4.937,274,32,0.3,0.91,47.11963673
7.608,10.59,9,108,0.29,0.75,56.69018164
10.355,9.55,82,239,0,0.39,81.12839674
12.079,6.012,153,122,0.28,0.98,49.17924056
13.749,11.264,186,209,0.38,0.37,61.38905177
9.811,4.565,26,248,0.09,0.11,57.36852832
8.17,5.885,240,12,0.17,0.12,86.31367992
9.469,3.789,171,284,0.48,0.97,28.88715675
7.759,8.889,300,120,0.26,0.74,52.88687071
6.799,9.001,266,223,0.06,0.88,55.73398169
9.837,5.545,105,57,0.09,0.91,56.59961384
6.105,6.49,212,105,0.3,0.56,67.46134868
13.503,8.774,183,198,0.39,0.78,56.6024385
3.052,6.333,253,164,0.07,0.98,24.07733839
6.844,11.291,244,0,0.31,0.17,71.14709668
10.728,11.432,189,130,0.16,0.65,59.48845109
8.624,11.364,138,135,0.33,0.5,61.59700372
9.434,5.861,94,234,0.21,0.12,79.3614488
10.047,7.11,88,31,0.14,0.23,74.15921768
5.704,11.25,113,47,0.09,0.27,80.35297483
8.179,6.628,152,31,0.46,0.48,60.01061928
8.82,5.381,216,168,0.02,0.69,66.39866991
5.792,4.948,97,42,0.18,0.96,47.21016876
13.239,10.199,86,59,0.27,0.26,81.69772597
12.94,9.97,35,74,0.23,0.71,57.70330378
14.513,11.137,152,117,0.5,0.06,68.26015446
